"alpha","phi","tau","Aff","Apt","AptNet","AptNet_market","E_apt","Erent","Tax","PV","Density","Q1","Q2","Q3","Q4","Q5","Erent_chg","Erent_chg_perc","AptNet_chg","Aff_chg","Density_chg","Tax_chg","PV_chg"
0,0.1,10,725.143343320721,283112.14278017,192641.885720862,191916.742377541,4021226.63485024,2743.6833775511,390179.486957152,1530118.36524093,61.4876124101729,831060.995410765,812235.505417139,762830.44889576,763080.951947628,852016.714100002,29.5076288127098,0.0108716721186628,66427.309269643,276.487687367344,0.0167966320920461,-0.0286491429528681,-0.0174780980804703
0,0.1,12.5,791.774654591534,303595.65586283,203219.132727674,202427.358073083,4031803.88185705,2748.18062235651,387594.272538634,1526307.64890658,61.6493465583268,837333.337490845,814495.119416134,758624.071267201,758151.761718362,863197.572885564,34.0048736181197,0.0125286189127309,77004.556276455,343.118998638157,0.0194711665338803,-0.0350850277828512,-0.0199250409742718
0,0.1,15,855.5337963474,322342.280160453,212677.073474577,211821.53967823,4041261.82260396,2752.27657305095,385124.662020123,1522990.75209709,61.793965662807,842000.081782643,817373.855946799,755229.056994676,753233.927973414,873422.880827477,38.1008243125598,0.0140377145180337,86462.497023358,406.878140394023,0.0218626761828595,-0.0412331169928606,-0.0220548917333782
0,0.1,17.5,915.907220476707,339422.106584479,221117.69825237,220201.791031894,4049702.44738175,2756.0562769887,382810.181322562,1520170.55731293,61.9230292326985,848092.878012061,817623.53031351,752585.874774731,748595.755719635,882802.389482864,41.8805282503099,0.0154302934398323,94903.121801151,467.25156452333,0.0239969500316477,-0.0469950109015524,-0.02386579944226
0,0.1,2.5,520.063568289708,212170.095758561,153835.142878202,153315.079309912,3982419.89200758,2727.72650656316,398244.865844521,1544998.36312047,60.8942278090337,807711.27615889,799719.947354448,781510.298644763,778610.658022795,814865.692747737,13.5507578247698,0.0049925867295324,27620.566426983,71.407912336331,0.00698406269272112,-0.00857040238208051,-0.00792333150209379
0,0.1,20,972.120650543709,354813.326960545,228580.110298935,227607.989648391,4057164.85942831,2759.41309665027,380641.281271843,1517692.18913546,62.0371351862371,853001.766417574,817867.495385761,750815.844611752,744621.915001901,890855.818932379,45.2373479118796,0.0166670665792026,102365.533847716,523.464994590332,0.0258838756205899,-0.0523944821539887,-0.0254572129372553
0,0.1,22.5,1024.13302382264,368633.653914198,235166.397571531,234142.264547709,4063751.14670091,2762.42892019768,378638.423747397,1515555.99185241,62.1378445259022,857445.741061555,818521.801813838,746996.68529261,741996.543081518,898788.356372441,48.2531714592897,0.0177782044813122,108951.821120312,575.477367869263,0.027549266638029,-0.0573805909524954,-0.0268289111438103
0,0.1,25,1071.89165804252,380995.870885123,240969.331760228,239897.440102186,4069554.08088961,2765.13032748425,376802.297197894,1513714.43696253,62.2265758013652,862034.500064378,818723.232773281,744295.846649067,739272.388075596,905226.094248337,50.9545787458596,0.018773500120449,114754.755309009,623.236002089143,0.0290165810858589,-0.0619516234058304,-0.0280114131345036
0,0.1,27.5,1115.4742683911,392018.146256806,246075.67688064,244960.202612249,4074660.42601002,2767.54233032447,375129.546802434,1512126.41383987,62.3046557003879,864834.588116624,819449.446570322,741975.299963292,736782.999273487,911616.073007346,53.36658158608,0.0196621687489789,119861.100429421,666.818612437723,0.0303077578814508,-0.0661159313322346,-0.0290311169261921
0,0.1,30,1155.05103601861,401815.06193628,250561.503958831,249406.452922813,4079146.25308821,2769.69145219471,373614.250737707,1510757.55873553,62.3732474067923,867599.529048505,820491.339741643,739206.102606918,734802.702331119,917044.560281078,55.5157034563199,0.0204539825698924,124346.927507612,706.395380065233,0.0314420321413813,-0.0698882570960294,-0.0299100882209106
0,0.1,5,587.783654576238,237193.482711478,167924.115320285,167336.331665709,3996508.86444966,2733.43378433048,395550.384925511,1539428.04704052,61.1096589089047,815494.863925904,805192.976227886,774466.978721932,774027.528868184,827324.49762681,19.25803559209,0.00709535320291677,41709.538869066,139.127998622861,0.0105465626534524,-0.0152783058917924,-0.011500151226301
0,0.1,7.5,656.697146470771,260929.433892929,180879.119248491,180222.42210202,4009463.86837787,2738.7699422091,392845.821502202,1534480.80640539,61.3077507680917,824226.799299671,808082.797051922,768002.678346449,769204.573002428,839945.001598452,24.5941934707098,0.00906138575666726,54664.542797272,208.041490517394,0.0138223303629315,-0.0220113097707432,-0.0146768808104311
0,0.15,0,458.636791485345,194829.993762485,144623.942416307,144165.305624821,3973208.69154569,2725.3171215778,400400.892796026,1548182.65721344,60.7533815510972,801263.484529569,798110.971567822,785812.80522382,782101.388643797,805918.022501731,11.14137283941,0.00410488261292175,18409.365965088,9.98113553196799,0.0046549431335281,-0.00320297867794528,-0.00587862779840131
